TransvisadoID,FechaVisado,TipoCarga,PuntoVisado,LatitudPtoVisado,LongitudPtoVisado,Ruta,Zona,FechaAccidente,Latitud,Longitud,Ubicacion,TipoAccidente,Procedencia,Destino,FechaLiberacion,DañoInfraestructuraVial,Observaciones
B6062E00-DEB1-4A26-8DE5-00B6F752B1FE,30:00.0,Tramero,Cruce A San Jose El Idolo,14.49287908,-91.41020992,Ruta 3,NULL,56:00.0,14.4925917,-91.40822159,Km 143+200 CA-2 Occidente,Volcadura,Finca California,Ingenio Palo Gordo,00:00.0,NULL,No se pudieron obtener datos del piloto porque se dio a la fuga del lugar del percanse. Segun indicaron otros pilotos que finca california queda por la maquina. Encargados del transporte no quisieron brindar información.
70FEEEFA-18DF-4229-A1F2-014900D97045,53:00.0,Granel,"Aldea La Guitarra, Frente A Escuela",14.47304866,-91.75469914,Ruta 3,NULL,40:00.0,14.48308677,-91.74248019,Km196+400 RN 9S,Volcadura,Finca Los Angeles La Maquina,Ingenio El Pilar,00:00.0,NULL,Quedaron obstruidos los dos carriles al momento del percanse pero llego la grua del ingenio y aorillo la jaula volcada para despejar un carril. El transito lo coordinaron los banderilleros del ingenio.
4BC32BA4-47A2-40EC-9868-04E39F66B6DD,00:00.0,Vacío,Entrada Trocha 3,14.0749,-91.3253,Ruta 2,NULL,00:00.0,14.07578336,-91.3244617,Km. 165+000 RN-11,Volcadura,Ingenio Magdalena,Fca. La Bendicion,00:00.0,NULL,NULL
EF975D67-CE74-408B-8533-0784F607A650,00:00.0,Mecanizado,Entrada A Guanagazapa,14.20218718,-90.70357642,Ruta 1,NULL,00:00.0,14.20253837,-90.70885994,Km.123+000 RD Jurisdicción Aldea La Faja Chiquimulilla Santa Rosa,Volcadura,NULL,Ingenio Madre Tierra,NULL,NULL,"La longitud de la volcadura no se obtuvo, debido a qué la información se recopiló del noticiero TSR Noticias, en el lugar estuvieron presentes elementos de la policía nacional civil."
09E2C4FF-E7F0-4477-B570-0B69A29EEDD2,15:00.0,Granel,Entrada Finca Concepción,14.54190848,-91.57894764,Ruta 3,NULL,15:00.0,14.54191091,-91.58523587,KM169-800 CA2 Occidente,Volcadura,La Lavadora La Maquina,Ingenio El Pilar,NULL,No,No se obtuvo mayor informacion del piloto ya que se avia ido del lugar a descansar  comento el propietario del vehiculo . Los datos recopilados del vehiculo son de un camion C2.
6CE95AD4-A26D-4BCA-AB55-0A7D1D3459F0,00:00.0,Vacío,Cocales,14.39298164,-91.19547515,Ruta 2,NULL,50:00.0,14.21130403,-91.22784428,KM.107+800 CA-2 Occidente Cuesta la primavera,Colisión,Ingenio Pantaleon,Fca. Rio Rico San Roque,00:00.0,NULL,Se llegó a un acuerdo con los seguros y PNC no hubo heridos
7E5D77A8-189F-4301-A00A-0DBAD2410CF3,30:00.0,Vacío,El Zarco,14.57464435,-91.63210338,Ruta 3,NULL,30:00.0,14.57549611,-91.6338406,KM 178+200 CA2 occidente,Colisión,Ingenio El Pilar,NULL,NULL,Si,No se obtubo mayor informacion devido a que no se pudo yegar al lugar del hecho por mucho conguestinamiento vehicular
80861454-01CE-4CF3-86C0-173DC29016AA,30:00.0,Mecanizado,Aldea Oliveros,13.98182128,-90.4006471,Ruta Comunidades Críticas,Zona 1,30:00.0,13.97850785,-90.40101812,Aldea oliveros,Colisión,Cobadonga,Ingenio Santa Ana,44:00.0,NULL,La aseguradora llego a un acuerdo con la propietaria del  vehiculo afectado  y los dos vehiculos se retiraron  del lugar
13B7B5F7-0ABD-4CF2-A1BC-1167E6CFF575,53:00.0,Granel,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,00:00.0,14.24973764,-91.20105912,Bao cardosa,Volcadura,Reu Finca Arizona Frente 31,Ingenio Magdalena,NULL,NULL,"La jaula volcó a un costado del Bao cardosa de Filipinas, por que se le quebró el loro ala jaula"
864FAF4F-BEEC-44EF-BE88-0EF3971E19D1,20:00.0,Granel,Complejo Deportivo Retalhuleu,14.52890507,-91.68720575,Ruta 3,NULL,20:00.0,14.55807054,-91.68373236,Km186+300 RN 9S,Colisión,Finca Buenos Aires,Ingenio el Pilar,NULL,NULL,El accidente se suscitó en Km186+300 RN 9S fuente mack calzada centenario.  El piloto del la mototaxi fue trasladado a un centro asistencial por bomberos voluntarios. Según indicaron que el piloto de la moto taxi venía bajo efectos de licor.  Los vehículos fueron movidos de lugar del accidente para dejar libre la vía.  Al lugar se presentaron los señores agentes de la PNC y personal del seguro para poder solventar la situación del percance.  No fue posible obtener número de licencia del moto taxista
E43C03F4-417B-40B0-B5FA-0F2458C6B761,30:00.0,Mecanizado,Cruce Las Lisas,13.94488397,-90.21834503,Ruta 1,NULL,30:00.0,13.85606574,-90.26224106,Km. 155+600 RD-JUT-07,Colisión,Fca. Balparaiso,Fca. Flores 1,NULL,NULL,El tractor y la camionetilla quedaron guardados en la gasolinera las flores por orden de la pnc.
A9E23807-2281-45B3-A084-16AAFBFCA4D1,30:00.0,Granel,Puente Ixtacapa,14.54984679,-91.43805035,Ruta 3,NULL,30:00.0,14.54848298,-91.44038186,KM151+200 CA2 OCCIDENTE,Colisión,Cafetales,Ingenio Palo Gordo,00:00.0,No,NULL
28F21918-D632-402C-A40C-0F82A8143665,22:00.0,Granel,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,30:00.0,14.22969363,-91.15113491,Finca cobadonga,Volcadura,Santa Isabel 3,Magdalena,NULL,NULL,Supervisor coordinando trafico de vehiculos cañeros
6B78A221-7B51-4A58-B960-2958C0475E66,13:00.0,Mecanizado,Complejo Deportivo Retalhuleu,14.52890507,-91.68720575,Ruta 3,NULL,00:00.0,14.52830621,-91.68068809,"Km187+900 RN 9S canton san luis, la verde",Colisión,Finca Las Delicias,Ingenio Palo Gordo,NULL,NULL,Los vehiculos los movieron para el predio de san sebastian para liberar la via y para la espera del ajustador del seguro. Al lugar se presento el ajustador del seguro El Roble para dialogar y llegar a un acuerdo de reparar el vehiculo.
B09A6BBF-D9AC-415D-90DF-2EE7DF3F3B6E,00:00.0,Mecanizado,Entrada A Finca El Tigre,13.94992592,-90.41058724,Ruta Interna,Zona 1,00:00.0,13.97886276,-90.4007244,Finca el tigre,Volcadura,Finca Covadonga,Ingenio Santa Ana,30:00.0,No,NULL
26A8024C-E958-47C4-83F8-318DD9782EA3,45:00.0,Vacío,Finca La Niña,14.16384075,-90.84768911,Ruta Interna,Zona 1,15:00.0,14.17766658,-90.85471153,Ruta interna(finca la niña),Colisión,Ingenio Santa Ana,Finca Costa Rica. Frente H,55:00.0,NULL,NULL
0B03B258-745A-4F82-9DBF-27C1CA011BF1,15:00.0,Granel,Entrada Trocha 3,14.0749,-91.3253,Ruta 2,NULL,15:00.0,14.07334842,-91.32677086,156+200 rn-11,Colisión,Trocha 14,Pamplona,NULL,NULL,"Según curiosos comentaban que el cañero venía despacio y que el camión venía muy rápido no viendo el cabezal cañero, colosionando en la parte trasera del cañero quedando en el carril de su via, trasladaron a los dos tripulantes del camión al igss de tiquisate"
6516AC69-A8A9-408B-8401-20351D3A3201,55:00.0,Mecanizado,Finca Las Ilusiones,14.33294063,-91.01250334,Ruta 2,NULL,30:00.0,14.32948936,-90.99120626,Km. 85+000 CA-2 Occidente Entrada Cañeros PSA,Colisión,Frente 13 Cerritos Salazar,Ingenio Pantaleon,00:00.0,NULL,Los conductores fueron detenidos por la PNC fueron trasladados a Santa lucia. El vehículo liviano fue trasladado al previo de Santa Lucia cotzumalguapa
760D8F19-0579-453E-A69B-38E4FCECFA30,00:00.0,Granel,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,35:00.0,14.24128649,-91.19554176,La platanera fca. Jabali,Volcadura,Finca Panamá,Ingenio Magdalena,NULL,NULL,"Cuando llege al lugar donde sucedio la volcadura, ya estaban presentes maquinas para poder remover la jaula a un lugar donde no perjudicará  la circulación de los demás cabezales. La volcadura fue en el vado de cardosa a unos minutos de Filipinas, provocando que se parara la circulación de los demás cabezales. Hora empiezo 22:35, finalización 12:30 am"
5B94F00F-0D21-4463-8085-26281CD24070,55:00.0,Granel,Chalet Tehuantepec,14.20061408,-91.10611226,Ruta Interna,Zona 2,00:00.0,14.21676952,-91.10749642,Puente don Genaro Doble via  la Libertad,Colisión,Finca Arizona . F 31,Ingenio Magadalena,NULL,NULL,"La unidad 42-199 halando las jaulas, 34-89,no porta placa,  34-58, Ilegible, 13-71, no porta placa, 13-53, ilegible, provenia de Finca Panama, Frente 13, dirigiendose hacia el ingenio (16) Magdalena, con carga Granel, y al llegar a la doble vía de la libertad por puente Don Genaro, hacia cruce tehuantepec sintio qué la unidad se quedo sin frenos, empezando a reducir la unidad para poder detenerla, y cuando logro detenerse quizo descender de la unidad sintiendo un impacto en la parte trasera de la unidad, observando un cabezal de la misma empresa lo colisionó en la jaula colera, pegandole con la jaula madre, logrando esquivar el golpe del cabezal con la jaula, el nombre del piloto es Edgar Geovanni Pu Alvarado, con numero de licencia,  A , 1849  06482  1011."
9C1BDD02-58DF-405A-B1C9-2CD5CB54FEBA,25:00.0,Vacío,Comedor Vista Verde,14.24067668,-90.74166186,Ruta 1,NULL,25:00.0,14.18236309,-90.86520285,68+000 CA-2 Oriente,Colisión,Ingenio concepcion,finca Alta Mira,25:00.0,NULL,"Al piloto del cabezal lo llevaron consignando a la subestación de la pnc de escuintla, y el cabezal detenido en el predio del ingenio concepción."
3DA5398C-F475-4A6E-AF3C-2F6AC694EEDE,15:00.0,Granel,Entrada A Finca San Luis Uruela,14.29750016,-90.79452873,Ruta 1,NULL,15:00.0,14.32870418,-91.02076428,60+400 ca 2 occidente,Volcadura,Finca María Chiquimulilla,Ingenio Trinidad,00:00.0,NULL,NULL
