FechaVisado,TipoCarga,PuntoVisado,LatitudPtoVisado,LongitudPtoVisado,Ruta,Zona,FechaAccidente,Latitud,Longitud,TipoAccidente,Resultado,Temperatura
2/18/2019,Tramero,Cruce A San Jose El Idolo,14.49287908,-91.41020992,Ruta 3,Zona 3,2/18/2019,14.4925917,-91.40822159,Volcadura,1,26.02
2/22/2019,Granel,"Aldea La Guitarra, Frente A Escuela",14.47304866,-91.75469914,Ruta 3,Zona 3,2/21/2019,14.48308677,-91.74248019,Volcadura,1,26.15
3/18/2020,Vacío,Entrada Trocha 3,14.0749,-91.3253,Ruta 2,Zona 2,3/18/2020,14.07578336,-91.3244617,Volcadura,1,27.02
2/21/2021,Mecanizado,Entrada A Guanagazapa,14.20218718,-90.70357642,Ruta 1,Zona 1,2/21/2021,14.20253837,-90.70885994,Volcadura,1,29.10
1/29/2019,Granel,Entrada Finca Concepción,14.54190848,-91.57894764,Ruta 3,Zona 3,1/29/2019,14.54191091,-91.58523587,Volcadura,1,24.50
2/5/2019,Vacío,Cocales,14.39298164,-91.19547515,Ruta 2,Zona 2,2/5/2019,14.21130403,-91.22784428,Colisión,1,23.60
3/18/2019,Vacío,El Zarco,14.57464435,-91.63210338,Ruta 3,Zona 3,3/18/2019,14.57549611,-91.6338406,Colisión,1,28.06
1/11/2019,Mecanizado,Aldea Oliveros,13.98182128,-90.4006471,Ruta Comunidades Críticas,Zona 1,1/11/2019,13.97850785,-90.40101812,Colisión,1,23.05
3/14/2019,Granel,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,3/14/2019,14.24973764,-91.20105912,Volcadura,1,28.34
2/14/2021,Granel,Complejo Deportivo Retalhuleu,14.52890507,-91.68720575,Ruta 3,Zona 3,2/14/2021,14.55807054,-91.68373236,Colisión,1,25.70
1/7/2021,Mecanizado,Cruce Las Lisas,13.94488397,-90.21834503,Ruta 1,Zona 1,1/7/2021,13.85606574,-90.26224106,Colisión,1,29.78
4/17/2020,Granel,Puente Ixtacapa,14.54984679,-91.43805035,Ruta 3,Zona 3,4/17/2020,14.54848298,-91.44038186,Colisión,1,28.60
12/14/2020,Granel,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,12/14/2020,14.22969363,-91.15113491,Volcadura,1,27.60
4/25/2019,Mecanizado,Complejo Deportivo Retalhuleu,14.52890507,-91.68720575,Ruta 3,Zona 3,4/25/2019,14.52830621,-91.68068809,Colisión,1,22.12
3/19/2020,Mecanizado,Entrada A Finca El Tigre,13.94992592,-90.41058724,Ruta Interna,Zona 1,3/19/2020,13.97886276,-90.4007244,Volcadura,1,28.90
2/17/2019,Vacío,Finca La Niña,14.16384075,-90.84768911,Ruta Interna,Zona 1,2/17/2019,14.17766658,-90.85471153,Colisión,1, 27.60 
2/24/2021,Granel,Entrada Trocha 3,14.0749,-91.3253,Ruta 2,Zona 2,2/24/2021,14.07334842,-91.32677086,Colisión,1, 28.61 
5/12/2019,Mecanizado,Finca Las Ilusiones,14.33294063,-91.01250334,Ruta 2,Zona 2,5/12/2019,14.32948936,-90.99120626,Colisión,1, 24.67 
4/24/2020,Granel,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,4/23/2020,14.24128649,-91.19554176,Volcadura,1, 26.33 
3/19/2021,Granel,Chalet Tehuantepec,14.20061408,-91.10611226,Ruta Interna,Zona 2,3/19/2021,14.21676952,-91.10749642,Colisión,1, 28.79 
4/14/2019,Vacío,Comedor Vista Verde,14.24067668,-90.74166186,Ruta 1,Zona 1,4/14/2019,14.18236309,-90.86520285,Colisión,1, 27.88 
12/10/2018,Granel,Entrada A Finca San Luis Uruela,14.29750016,-90.79452873,Ruta 1,Zona 1,12/10/2018,14.32870418,-91.02076428,Volcadura,1, 26.33 
4/14/2019,Granel,El Zaguan,14.53572843,-91.52745832,Ruta 3,Zona 3,4/14/2019,14.53568977,-91.52909043,Colisión,1, 24.67 
1/24/2021,Granel,El Zarco,14.57464435,-91.63210338,Ruta 3,Zona 3,1/24/2021,14.57529924,-91.63316717,Colisión,1, 26.28 
4/25/2019,Mecanizado,Bascula MICIVI,14.2669408,-90.77440058,Ruta 1,Zona 1,4/25/2019,14.24906809,-90.77450755,Colisión,1, 25.37 
3/28/2021,Mecanizado,Finca Eslovaquia,14.01203575,-90.4336961,Ruta Interna,Zona 1,3/28/2021,13.97852624,-90.40103752,Volcadura,1, 24.28 
4/28/2019,Granel,RESTAURANTE LA RUEDA,14.38022698,-91.16877541,Ruta 2,Zona 2,4/28/2019,14.3763864,-91.13905174,Volcadura,1, 24.70 
3/11/2019,Mecanizado,Recta La 22 (Ruta Interna Tulula ),14.48888285,-91.61541442,Ruta Interna,Zona 3,3/11/2019,14.33052797,-91.05451207,Colisión,1, 24.21 
2/26/2021,Mecanizado,Cocales,14.39298164,-91.19547515,Ruta 2,Zona 2,2/26/2021,14.39087771,-91.19199124,Volcadura,1, 24.79 
3/4/2021,Mecanizado,Gasolinera Maranatha,14.54285361,-91.42735216,Ruta 3,Zona 3,3/4/2021,14.53561437,-91.42067059,Colisión,1, 23.54 
4/24/2021,Mecanizado,Paso Antonio Llantera 6.,14.06376776,-90.71620384,Ruta Interna,Zona 1,4/24/2021,14.02766318,-90.47315399,Volcadura,1, 23.42 
3/17/2019,Granel,Entrada A Finca El Tigre,13.94992592,-90.41058724,Ruta Interna,Zona 1,3/17/2019,9.949925923,-90.41058724,Volcadura,1, 24.13 
1/27/2019,Vacío,Complejo Deportivo Retalhuleu,14.52890507,-91.68720575,Ruta 3,Zona 3,1/27/2019,14.55786787,-91.68339209,Colisión,1, 24.89 
11/26/2018,Vacío,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,11/26/2018,14.33128285,-91.05584704,Otro,1, 23.77 
1/7/2021,Granel,"Aldea La Guitarra, Frente A Escuela",14.47304866,-91.75469914,Ruta 3,Zona 3,1/7/2021,14.46832747,-91.76044616,Colisión,1, 25.11 
2/12/2021,Vacío,Cuesta De Popoya,14.38678503,-91.11067666,Ruta 2,Zona 2,2/11/2021,14.33833555,-91.21831726,Colisión,1, 24.22 
12/11/2018,Granel,Vuelta Del Niño Hulera,14.55185012,-91.63570221,Ruta 3,Zona 3,12/11/2018,14.55055949,-91.63012185,Colisión,1, 27.35 
