LatitudPtoVisado,LongitudPtoVisado,Latitud,Longitud,Resultado,Temperatura,Anio,Mes
14.49287908,-91.41020992,14.4925917,-91.40822159,1,26.02,2019,2
14.47304866,-91.75469914,14.48308677,-91.74248019,1,26.15,2019,2
14.0749,-91.3253,14.07578336,-91.3244617,1,27.02,2020,3
14.20218718,-90.70357642,14.20253837,-90.70885994,1,29.10,2021,2
14.54190848,-91.57894764,14.54191091,-91.58523587,1,24.50,2019,1
14.39298164,-91.19547515,14.21130403,-91.22784428,1,23.60,2019,2
14.57464435,-91.63210338,14.57549611,-91.6338406,1,28.06,2019,3
13.98182128,-90.4006471,13.97850785,-90.40101812,1,23.05,2019,1
14.23263619,-91.16270717,14.24973764,-91.20105912,1,28.34,2019,3
14.52890507,-91.68720575,14.55807054,-91.68373236,1,25.70,2021,2
13.94488397,-90.21834503,13.85606574,-90.26224106,1,29.78,2021,1
14.54984679,-91.43805035,14.54848298,-91.44038186,1,28.60,2020,4
14.23263619,-91.16270717,14.22969363,-91.15113491,1,27.60,2020,12
14.52890507,-91.68720575,14.52830621,-91.68068809,1,22.12,2019,4
13.94992592,-90.41058724,13.97886276,-90.4007244,1,28.90,2020,3
14.16384075,-90.84768911,14.17766658,-90.85471153,1, 27.60 ,2019,2
14.0749,-91.3253,14.07334842,-91.32677086,1, 28.61 ,2021,2
14.33294063,-91.01250334,14.32948936,-90.99120626,1, 24.67 ,2019,5
14.23263619,-91.16270717,14.24128649,-91.19554176,1, 26.33 ,2020,4
14.20061408,-91.10611226,14.21676952,-91.10749642,1, 28.79 ,2021,3
14.24067668,-90.74166186,14.18236309,-90.86520285,1, 27.88 ,2019,4
14.29750016,-90.79452873,14.32870418,-91.02076428,1, 26.33 ,2018,12
14.53572843,-91.52745832,14.53568977,-91.52909043,1, 24.67 ,2019,4
14.57464435,-91.63210338,14.57529924,-91.63316717,1, 26.28 ,2021,1
14.2669408,-90.77440058,14.24906809,-90.77450755,1, 25.37 ,2019,4
14.01203575,-90.4336961,13.97852624,-90.40103752,1, 24.28 ,2021,3
14.38022698,-91.16877541,14.3763864,-91.13905174,1, 24.70 ,2019,4
14.48888285,-91.61541442,14.33052797,-91.05451207,1, 24.21 ,2019,3
14.39298164,-91.19547515,14.39087771,-91.19199124,1, 24.79 ,2021,2
14.54285361,-91.42735216,14.53561437,-91.42067059,1, 23.54 ,2021,3
14.06376776,-90.71620384,14.02766318,-90.47315399,1, 23.42 ,2021,4
13.94992592,-90.41058724,9.949925923,-90.41058724,1, 24.13 ,2019,3
14.52890507,-91.68720575,14.55786787,-91.68339209,1, 24.89 ,2019,1
14.23263619,-91.16270717,14.33128285,-91.05584704,1, 23.77 ,2018,11
14.47304866,-91.75469914,14.46832747,-91.76044616,1, 25.11 ,2021,1
14.38678503,-91.11067666,14.33833555,-91.21831726,1, 24.22 ,2021,2
14.55185012,-91.63570221,14.55055949,-91.63012185,1, 27.35 ,2018,12
14.29550889,-90.97168741,14.29053533,-90.96946983,1, 23.27 ,2021,4
14.16384075,-90.84768911,14.16715394,-90.84820684,1, 23.96 ,2019,3
14.30607178,-91.04667292,14.30654186,-91.04695407,1, 28.36 ,2020,2
14.41076857,-91.30794358,14.41136962,-91.31710218,1, 25.23 ,2021,2
14.41076857,-91.30794358,14.41075466,-91.30821198,1, 27.39 ,2019,1
14.24067668,-90.74166186,14.24638144,-90.74090831,1, 27.85 ,2018,12
14.28446115,-91.29718881,14.22229198,-91.09208969,1, 25.21 ,2021,4
14.28446115,-91.29718881,14.24120076,-91.19547839,1, 28.50 ,2019,3
14.23550613,-91.17881204,14.24996927,-91.18337255,1, 25.54 ,2021,2
14.3919786,-91.85273014,14.38069622,-91.86632913,1, 27.55 ,2020,3
14.51967526,-91.41538809,14.54546098,-91.55857917,1, 26.22 ,2018,11
14.47304866,-91.75469914,14.53224935,-91.67616738,1, 23.24 ,2019,3
14.54285361,-91.42735216,14.53618333,-91.4210378,1, 26.79 ,2021,2
14.23550613,-91.17881204,14.22156826,-91.10265837,1, 26.28 ,2020,12
14.28446115,-91.29718881,14.28863567,-91.33306153,1, 26.95 ,2020,12
14.23263619,-91.16270717,14.23404597,-91.17187866,1, 28.40 ,2020,12
14.49287908,-91.41020992,14.49930307,-91.412263,1, 27.9 ,2021,2
14.02851117,-90.48460981,14.02769055,-90.47313976,1, 28.64 ,2018,12
14.23263619,-91.16270717,14.24358018,-91.1953586,1, 23.69 ,2020,4
14.33294063,-91.01250334,14.33429249,-91.00763356,1, 26.35 ,2021,1
14.41076857,-91.30794358,14.41156386,-91.30607737,1, 26.60 ,2019,4
14.06376776,-90.71620384,14.07370984,-90.7574358,1, 28.43 ,2019,1
14.23263619,-91.16270717,14.22971112,-91.15279311,1, 26.20 ,2021,1
14.41076857,-91.30794358,14.41122877,-91.31969173,1, 27.6 ,2021,3
14.47304866,-91.75469914,14.45442482,-91.77723981,1, 24.54 ,2018,12
14.44327087,-91.37819994,14.43650353,-91.37521327,1, 28.31 ,2018,11
14.55185012,-91.63570221,14.54739889,-91.61304889,1, 25.59 ,2020,12
14.28446115,-91.29718881,14.32730237,-91.06187153,1, 25.68 ,2019,1
14.23263619,-91.16270717,14.2342296,-91.17045562,1, 24.82 ,2020,12
14.54984679,-91.43805035,14.54572271,-91.44612508,1, 27.20 ,2019,2
14.39108942,-91.45657823,14.36220699,-91.64832335,1, 26.63 ,2018,12
14.08305412,-90.81634086,14.0740676,-90.78971694,1, 28.34 ,2019,3
14.54381849,-91.56783994,14.5434899,-91.56787419,1, 26.87 ,2021,3
14.52282587,-91.57909535,14.41045343,-91.82269155,1, 28.77 ,2019,3
14.20218718,-90.70357642,14.20417625,-90.70631381,1, 27.77 ,2019,4
14.20218718,-90.70357642,14.20420125,-90.70554749,1, 26.46 ,2019,2
